"Date","Record Number","Record Type","Project Name","Address","Status","Short Notes",
"07/20/2020","K202005117","Residential Pool",,"3414 ARROWHEAD CT, ROSAMOND CA","Finaled",,
"07/17/2020","K202005081","Residential Pool",,"7504 RIBIER AV, BAKERSFIELD CA","Issued",,
"07/15/2020","K202004999","Residential Pool",,"14626 POMEGRANATE AV, BAKERSFIELD CA","Finaled",,
"07/14/2020","K202004951","Residential Pool",,"6753 ROLLIN BROWN CT, BAKERSFIELD CA","Issued",,
"07/10/2020","K202004872","Residential Pool",,"14737 PLUMERIA CT, BAKERSFIELD CA","Finaled",,
"07/10/2020","K202004867","Residential Pool",,"15136 MAHOGANY CT, KERN COUNTY CA","Finaled",,
"07/09/2020","K202004806","Residential Pool",,"14305 PRESTONBROOK DR, BAKERSFIELD CA","Finaled",,
"07/09/2020","K202004803","Residential Pool",,"7463 NORRIS RD, BAKERSFIELD CA","Finaled",,
"07/06/2020","K202004667","Residential Pool",,"14712 PLUMERIA CT, BAKERSFIELD CA","Finaled",,
"07/02/2020","K202004619","Residential Pool",,"206 WOODLANDS MEADOW CT, BAKERSFIELD CA","Finaled",,
"07/01/2020","K202004563","Residential Pool",,"3958 MOSS ST, BAKERSFIELD CA","Finaled",,
"06/29/2020","K202004502","Residential Pool",,"9012 RANCHO VIEJO DR, BAKERSFIELD CA","Finaled",,
"06/26/2020","K202004431","Residential Pool",,"15011 SOUTHERNWOOD AV, BAKERSFIELD CA","Finaled",,
"06/25/2020","K202004395","Residential Pool",,"11078 KYTE AV, DELANO CA","Finaled",,
"06/25/2020","K202004357","Residential Pool",,"30189 LOS ANGELES ST, SHAFTER CA","Finaled",,
"06/24/2020","K202004354","Residential Pool",,"16602 NORTHFIELD WY, BAKERSFIELD CA","Finaled",,
"06/18/2020","K202004182","Residential Pool",,"15600 CARPARZO DR, BAKERSFIELD CA","Finaled",,
"06/18/2020","K202004181","Residential Pool",,"17840 KRANENBERG AV, BAKERSFIELD CA","Finaled",,
"06/17/2020","K202004129","Residential Pool",,"15604 AVANTI DR, BAKERSFIELD CA","Finaled",,
"06/16/2020","K202004093","Residential Pool",,"14619 PLUMERIA CT, BAKERSFIELD CA","Finaled",,
"06/11/2020","K202003971","Residential Pool",,"1307 MORNINGTON AV, BAKERSFIELD CA","Finaled",,
"06/11/2020","K202003969","Residential Pool",,"7011 TRIPLE FALLS DR, BAKERSFIELD CA","Canceled",,
"06/11/2020","K202003967","Residential Pool",,"9808 RIVERROCK DR, BAKERSFIELD CA","Canceled",,
"06/11/2020","K202003962","Residential Pool",,"2508 LOMA LINDA DR, BAKERSFIELD CA","Issued",,
